"latitud","longitud"
-37.63,-53.68
-37.58,-53.6
-36.38,-52.87
-36.38,-52.87
-36.37,-52.78
-36.32,-52.77
-36.45,-52.87
-36.75,-53.15
-36.83,-53.17
-36.7,-53.15
-36.7,-53.28
-36.68,-53.35
-36.68,-53.37
-37.87,-54.08
-38,-54.08
-37.87,-54.12
-37.87,-54.12
-39.32,-54.5
-39.4,-54.5
-39.4,-54.57
-39.37,-54.63
-39.3,-54.5
-39.47,-54.82
-39.43,-54.77
-39.82,-54.87
-39.9,-55.18
-39.83,-55.18
-39.13,-55.3
-39.17,-54.32
-39.2,-54.37
-39.27,-54.35
-39.18,-54.5
-38,-54
-37.92,-54.03
-37.95,-54.12
-37.98,-54.13
-37.98,-54.02
-37.95,-54.08
-37.87,-54.02
-37.98,-54.02
-37.95,-54.07
-37.9,-54.2
-37.98,-54.04
-37.95,-54.08
-37.93,-54.15
-37.9,-54.2
-37.88,-54.2
-37.98,-54
-37.9,-54.07
-37.95,-53.88
-37.98,-53.87
-37.15,-53.3
-37.23,-53.35
-37.22,-53.37
-37.17,-53.43
-37.23,-53.4
-37.2,-53.38
-37.17,-53.48
-37.2,-53.48
-37.25,-53.4
-36.38,-52.87
-36.4,-52.83
-36.3,-52.75
-37.95,-54.08
-37.97,-54.1
-37.98,-54
-38.18,-54.43
-38.18,-54.45
-38.43,-54.77
-38.63,-54.88
-38.58,-54.92
-38.68,-54.83
-38.9,-54.62
-39.5,-54.7
-39.5,-54.73
-39.65,-54.75
-39.87,-54.88
-39.82,-54.87
-37.22,-53.35
-37.97,-53.97
-39.75,-55.52
-39.78,-55.59
-38.6,-54.79
-38.63,-54.71
-37.79,-54.39
-37.82,-54.35
-39.43,-54.93
-39.33,-54.63
-39.38,-54.5
-39.95,-59.03
-39.13,-54.3
-37.98,-54.02
-37.98,-54.1
-37.88,-54.2
-37.65,-53.6
-37.58,-53.65
-37.97,-54.02
-39.95,-56.24
-39.91,-56.38
-39.8,-56.4
-39.23,-54.77
-39.42,-54.78
-39.3,-54.83
-39.33,-54.77
-39.42,-56.33
-39.38,-54.75
-39.45,-54.8
-39.42,-54.77
-39.87,-54.88
-39.82,-54.87
-39.61,-56.38
-39.4,-54.48
-39.33,-54.65
-39.48,-54.75
-38.2,-54.45
-38.2,-54.43
-38.17,-54.42
-38.13,-54.48
-38.13,-54.45
-39.99,-56.75
-39.42,-54.78
-39.3,-54.83
-39.33,-54.77
